Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-11-17,0 days 10:00:00.000000000,Chicago Bulls,101,Sacramento Kings,87,Box Score,,"12,634",,0,1
2009-11-17,0 days 10:30:00.000000000,Detroit Pistons,93,Los Angeles Lakers,106,Box Score,,"18,997",,1,0
2009-11-18,0 days 07:00:00.000000000,Miami Heat,90,Atlanta Hawks,105,Box Score,,"18,729",,1,0
2009-11-18,0 days 07:00:00.000000000,New York Knicks,110,Indiana Pacers,103,Box Score,,"12,258",,0,1
2009-11-18,0 days 07:00:00.000000000,Oklahoma City Thunder,94,Orlando Magic,108,Box Score,,"17,461",,1,0
2009-11-18,0 days 07:00:00.000000000,Charlotte Bobcats,84,Philadelphia 76ers,86,Box Score,,"11,585",,1,0
2009-11-18,0 days 07:00:00.000000000,Cleveland Cavaliers,91,Washington Wizards,108,Box Score,,"20,173",,1,0
2009-11-18,0 days 07:30:00.000000000,Golden State Warriors,95,Boston Celtics,109,Box Score,,"18,624",,1,0
2009-11-18,0 days 08:00:00.000000000,Los Angeles Clippers,91,Memphis Grizzlies,106,Box Score,,"10,012",,1,0
2009-11-18,0 days 08:00:00.000000000,New Jersey Nets,85,Milwaukee Bucks,99,Box Score,,"13,479",,1,0
2009-11-18,0 days 08:00:00.000000000,Houston Rockets,97,Minnesota Timberwolves,84,Box Score,,"11,137",,0,1
2009-11-18,0 days 09:00:00.000000000,Toronto Raptors,91,Utah Jazz,104,Box Score,,"17,879",,1,0
2009-11-18,0 days 09:30:00.000000000,San Antonio Spurs,94,Dallas Mavericks,99,Box Score,OT,"20,110",,1,0
2009-11-18,0 days 10:00:00.000000000,Detroit Pistons,81,Portland Trail Blazers,87,Box Score,,"20,391",,1,0
2009-11-19,0 days 08:00:00.000000000,Phoenix Suns,103,New Orleans Hornets,110,Box Score,,"14,520",,1,0
2009-11-19,0 days 08:30:00.000000000,Utah Jazz,90,San Antonio Spurs,83,Box Score,,"17,519",,0,1
2009-11-19,0 days 10:30:00.000000000,Chicago Bulls,93,Los Angeles Lakers,108,Box Score,,"18,997",,1,0
2009-11-20,0 days 07:00:00.000000000,Cleveland Cavaliers,105,Indiana Pacers,95,Box Score,,"18,165",,0,1
2009-11-20,0 days 07:00:00.000000000,Memphis Grizzlies,102,Philadelphia 76ers,97,Box Score,,"14,269",,0,1
2009-11-20,0 days 07:00:00.000000000,Miami Heat,113,Toronto Raptors,120,Box Score,,"19,800",,1,0
2009-11-20,0 days 07:30:00.000000000,Houston Rockets,103,Atlanta Hawks,105,Box Score,,"16,674",,1,0
2009-11-20,0 days 08:00:00.000000000,Orlando Magic,83,Boston Celtics,78,Box Score,,"18,624",,0,1
2009-11-20,0 days 08:00:00.000000000,Washington Wizards,108,Oklahoma City Thunder,127,Box Score,,"18,203",,1,0
2009-11-20,0 days 08:30:00.000000000,Sacramento Kings,102,Dallas Mavericks,104,Box Score,,"19,871",,1,0
2009-11-20,0 days 08:30:00.000000000,Charlotte Bobcats,88,Milwaukee Bucks,95,Box Score,,"15,578",,1,0
2009-11-20,0 days 10:30:00.000000000,Portland Trail Blazers,94,Golden State Warriors,108,Box Score,,"18,630",,1,0
2009-11-20,0 days 10:30:00.000000000,Denver Nuggets,99,Los Angeles Clippers,106,Box Score,,"18,155",,1,0
2009-11-21,0 days 01:00:00.000000000,New York Knicks,98,New Jersey Nets,91,Box Score,,"14,050",,0,1
2009-11-21,0 days 07:30:00.000000000,Philadelphia 76ers,91,Cleveland Cavaliers,97,Box Score,,"20,562",,1,0
2009-11-21,0 days 08:00:00.000000000,Milwaukee Bucks,103,Memphis Grizzlies,98,Box Score,,"11,209",,0,1
2009-11-21,0 days 08:00:00.000000000,Atlanta Hawks,88,New Orleans Hornets,96,Box Score,,"15,933",,1,0
2009-11-21,0 days 08:30:00.000000000,Sacramento Kings,106,Houston Rockets,113,Box Score,,"16,202",,1,0
2009-11-21,0 days 08:30:00.000000000,Washington Wizards,84,San Antonio Spurs,106,Box Score,,"16,888",,1,0
2009-11-21,0 days 09:00:00.000000000,Chicago Bulls,93,Denver Nuggets,112,Box Score,,"19,359",,1,0
2009-11-21,0 days 09:00:00.000000000,Detroit Pistons,97,Utah Jazz,100,Box Score,OT,"18,355",,1,0
2009-11-21,0 days 10:00:00.000000000,Minnesota Timberwolves,78,Portland Trail Blazers,106,Box Score,,"20,453",,1,0
2009-11-22,0 days 01:00:00.000000000,Boston Celtics,107,New York Knicks,105,Box Score,OT,"19,763",,0,1
2009-11-22,0 days 05:00:00.000000000,Indiana Pacers,88,Charlotte Bobcats,104,Box Score,,"14,730",,1,0
2009-11-22,0 days 06:00:00.000000000,New Orleans Hornets,101,Miami Heat,102,Box Score,,"16,500",,1,0
2009-11-22,0 days 08:00:00.000000000,Detroit Pistons,91,Phoenix Suns,117,Box Score,,"18,422",,1,0
2009-11-22,0 days 09:30:00.000000000,Oklahoma City Thunder,85,Los Angeles Lakers,101,Box Score,,"18,997",,1,0
2009-11-22,0 days 12:30:00.000000000,Orlando Magic,104,Toronto Raptors,96,Box Score,,"17,233",,0,1
2009-11-23,0 days 08:00:00.000000000,Sacramento Kings,105,Memphis Grizzlies,116,Box Score,,"10,109",,1,0
2009-11-23,0 days 08:30:00.000000000,Milwaukee Bucks,98,San Antonio Spurs,112,Box Score,,"17,677",,1,0
2009-11-23,0 days 10:00:00.000000000,Chicago Bulls,98,Portland Trail Blazers,122,Box Score,,"20,383",,1,0
